Store ID ,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
127,1871,2241,500,61150
128,1718,2051,750,49210
129,1365,1636,980,79950
130,1368,1654,530,68740
131,1342,1595,910,57480
132,1076,1270,620,72630
133,1396,1672,1170,50070
134,1713,2071,900,40490
135,1370,1638,980,51850
136,1667,1993,740,42840
137,1638,1972,810,60940
138,1581,1905,810,62280
139,1795,2187,300,76530
140,1179,1412,790,85130
141,1978,2374,800,48590
142,1688,2042,760,73080
143,1214,1456,530,48950
144,1504,1805,540,48560
145,1498,1770,620,59380
146,1462,1762,1010,51190
147,1442,1750,130,58920
148,1250,1486,730,50360
149,1229,1480,830,38070
150,1936,2300,1060,49170
151,1369,1629,770,39740
152,1662,1986,70,63730
153,1548,1855,670,85330
154,1649,1963,490,27410
155,1393,1663,670,37320
156,1450,1734,380,71120
157,1613,1921,1200,72800
158,1408,1696,350,34410
159,775,932,1090,42530
160,1275,1534,1230,54300
161,1740,2078,680,50780
162,1372,1657,580,45020
163,1414,1723,680,69600
164,2044,2474,340,80340
165,1823,2176,700,37810
166,955,1133,580,46140
167,1465,1763,680,99570
168,1331,1606,630,38650
169,1232,1487,860,49800
170,1481,1765,490,69910
171,1343,1599,870,44910
172,1539,1837,990,78470
173,1007,1207,670,47460
174,1762,2145,490,33460
175,1527,1832,580,44090
176,1356,1619,700,42620
177,1536,1848,670,69450
178,1605,1902,390,73120
179,1704,2032,590,48300
180,1626,1941,1350,58090
181,1612,1939,840,74250
182,1174,1396,1100,40930
183,1923,2339,950,70930
184,1702,2053,950,64670
185,1398,1692,650,77420
186,1437,1717,230,32330
187,1524,1796,1060,41080
188,1660,1985,1180,42860
189,1302,1569,710,68450
190,1666,2000,480,39730
191,1391,1649,810,83750
192,1778,2148,1140,69940
193,1462,1770,1070,67710
194,1751,2115,790,67360
195,1652,1982,690,52460
196,1841,2215,610,88760
197,1496,1791,1240,67030
198,1504,1827,840,78230
199,1524,1808,460,62270
200,1148,1371,940,49760
201,1468,1744,590,73660
202,1310,1558,890,72320
203,1321,1579,770,68890
204,992,1192,900,34180
205,1540,1857,1020,58260
206,1807,2149,910,38120
207,1526,1853,660,49070
208,1406,1677,480,61660
209,1703,2055,1080,37830
210,1575,1872,690,52270
211,1309,1572,510,52280
212,1488,1807,1030,70810
213,1658,1988,370,71530
214,1863,2245,640,77260
215,1458,1725,750,75550
216,1604,1909,370,33730
217,1575,1899,840,66270
218,1525,1829,840,55820
219,1451,1737,890,68430
220,1390,1687,620,73990
221,1442,1742,310,62800
222,1620,1922,550,33740
223,1251,1527,380,63830
224,1318,1606,1200,24410
225,1647,1962,800,70020
226,1829,2175,870,92240
227,1852,2227,1220,68230
228,1699,2053,1080,81870
229,1325,1595,540,73860
230,1350,1634,880,77120
231,1347,1628,120,72350
232,1397,1661,1410,49160
233,1245,1499,570,45650
234,1366,1649,940,52780
235,1378,1658,760,90960
236,1767,2110,1200,64950
237,1184,1434,670,47230
238,1257,1505,950,83250
239,1863,2247,480,51950
240,1881,2244,920,66030
241,1329,1609,1150,68590
242,1539,1848,750,47140
243,1557,1861,370,69940
244,2007,2397,610,65890
245,1185,1418,1150,89310
246,1657,2003,1070,58540
247,1294,1539,790,78130
248,1296,1559,1070,92300
249,1733,2097,730,56170
250,1641,1976,620,46050
251,1373,1648,530,43390
252,1550,1845,700,61750
253,1583,1907,680,21830
254,1428,1719,1060,39800
255,1604,1925,670,54370
256,1439,1735,400,62470
257,1648,2003,910,82930
258,1025,1231,760,63720
259,2001,2394,540,79180
260,1145,1370,350,38210
261,1174,1426,980,25950
262,913,1106,860,56610
263,1199,1433,1020,73710
264,1875,2254,1120,70400
265,1153,1397,1020,50440
266,1240,1492,940,66840
267,1381,1660,970,50170
268,1701,2030,830,60140
269,1206,1456,920,37130
270,1476,1777,660,42890
271,1189,1439,780,26220
272,1837,2220,340,50840
273,1319,1571,1190,25630
274,1617,1901,490,60770
275,1631,1967,1090,69600
276,1517,1805,1040,41740
277,1764,2109,1210,50130
278,1572,1869,1030,21750
279,1855,2197,1170,80490
280,1327,1571,730,34020
281,1270,1515,720,60240
282,1734,2073,500,39460
283,1533,1848,1070,56440
284,1390,1646,800,46840
285,1856,2216,1020,64820
286,1000,1215,1070,52520
287,1313,1586,420,45940
288,1494,1799,510,38970
289,1386,1674,1210,58610
290,1979,2364,660,30810
291,1057,1264,360,47730
292,902,1093,1210,64640
293,1347,1622,560,44860
294,1314,1576,360,55660
295,1513,1803,970,57530
296,1305,1548,480,75200
297,1180,1436,690,37330
298,1142,1352,710,35280
299,1471,1768,780,70610
